Reference of FxCop coding rule violations,,,,
Category,Name,Abbreviation,,Prio.
,Resource strings should be spelled correctly,FXCOP_RSSBSC,CODE_SMELL,Major
,Type names should not match namespaces,FXCOP_TNSNMN,BUG,Critical
,Use preferred terms,FXCOP_UPT,CODE_SMELL,Critical
Microsoft.Performance Rules,Avoid excessive locals,FXCOP_AEL,CODE_SMELL,Minor
,Avoid uncalled private code,FXCOP_AUPC,CODE_SMELL,Minor
,Avoid uninstantiated internal classes,FXCOP_AUIC,CODE_SMELL,Minor
,Avoid unsealed attributes,FXCOP_AUA,CODE_SMELL,Minor
,Avoid unused private fields,FXCOP_AUPF,CODE_SMELL,Minor
,Do not cast unnecessarily,FXCOP_DNCU,CODE_SMELL,Minor
,Initialize reference type static fields inline,FXCOP_IRTSFI,CODE_SMELL,Major
,Mark assemblies with NeutralResourcesLanguageAttribute,FXCOP_MAWNRL,CODE_SMELL,Minor
,Mark members as static,FXCOP_MMAS,CODE_SMELL,Minor
,Override equals and operator equals on value types,FXCOP_OEAOEOVT,CODE_SMELL,Minor
,Prefer jagged arrays over multidimensional,FXCOP_PJAOM,CODE_SMELL,Minor
,Properties should not return arrays,FXCOP_PSNRA,CODE_SMELL,Minor
,Remove empty finalizers,FXCOP_REF,CODE_SMELL,Minor
,Remove unused locals,FXCOP_RUL,CODE_SMELL,Minor
,Test for empty strings using string length,FXCOP_TFESUSL,BUG,Minor
,Use literals where appropriate,FXCOP_ULWA,CODE_SMELL,Minor
Microsoft.Portability Rules,P/Invoke declarations should be portable,FXCOP_PDSBP,BUG,Critical
,Use only API from targeted framework,FXCOP_UOAFTF,BUG,Critical
,Value type fields should be portable,FXCOP_VTFSBP,BUG,Blocker
Microsoft.Reliability Rules,Avoid calling problematic methods,FXCOP_ACPM,BUG,Critical
,Do not lock on objects with weak identity,FXCOP_DNLOOWWI,VULNERABILITY,Blocker
,Do not treat fibers as threads,FXCOP_DNTFAT,BUG,Critical
,Remove calls to GC.KeepAlive,FXCOP_RCTA,BUG,Major
,Use SafeHandle to encapsulate native resources,FXCOP_USHTENR,VULNERABILITY,Major
Microsoft.Security Rules,APTCA methods should only call APTCA methods,FXCOP_AMSOCAM,VULNERABILITY,Blocker
,APTCA types should only extend APTCA base types,FXCOP_ATSOEABT,VULNERABILITY,Blocker
,Array fields should not be read only,FXCOP_AFSNBRO,VULNERABILITY,Major
,Call GC.KeepAlive when using native resources,FXCOP_CAWUNR,VULNERABILITY,Minor
,Catch non-CLSCompliant exceptions in general handlers,FXCOP_CNCCEIGH,VULNERABILITY,Critical
,Default constructors must be at least as critical as base type default constructors,FXCOP_DCMHCT,BUG,Blocker
,Delegates must bind to methods with consistent transparency,FXCOP_DMBWCT,BUG,Blocker
,Do not declare read only mutable reference types,FXCOP_DNDROMRT,BUG,Critical
,Do not indirectly expose methods with link demands,FXCOP_DNIEMWLD,VULNERABILITY,Blocker
,Fields with critical types should be security critical.,FXCOP_FWCTSBC,VULNERABILITY,Minor
,Level 2 assemblies should not contain LinkDemands,FXCOP_SRSLSNBPWLD,VULNERABILITY,Major
,Members should not have conflicting transparency annotations,FXCOP_TASNC,VULNERABILITY,Minor
,Method security should be a superset of type,FXCOP_MSSBOT,VULNERABILITY,Blocker
,Methods must keep consistent transparency when overriding base methods,FXCOP_MMOWCT,BUG,Blocker
,Override link demands should be identical to base,FXCOP_OLDSBITB,VULNERABILITY,Blocker
,P/Invoke declarations should not be safe-critical.,FXCOP_PSNBSC,BUG,Minor
,Pointers should not be visible,FXCOP_POSHNOBEVI,VULNERABILITY,Blocker
,Review declarative security on value types,FXCOP_RDSOVT,VULNERABILITY,Critical
,Review deny and permit only usage,FXCOP_RDAPOU,VULNERABILITY,Major
,Review imperative security,FXCOP_RIS,VULNERABILITY,Blocker
,Review SuppressUnmanagedCodeSecurityAttribute usage,FXCOP_RSUCSU,VULNERABILITY,Blocker
,Review visible event handlers,FXCOP_RVEH,VULNERABILITY,Blocker
