,Unnecessary Local Before Return,PMD_ULBR,CODE_SMELL,Minor,
,Unsynchronized Static Date Formatter,PMD_USDF,BUG,Critical,
,Use Collection Is Empty,PMD_UCIE,CODE_SMELL,Major,
,Use Locale With Case Conversions,PMD_ULWCC,BUG,Critical,
,Use Notify All Instead Of Notify,PMD_UNAION,BUG,Critical,
,Use Varargs,PMD_UV,CODE_SMELL,Minor,
Finalizer Rules,Avoid Calling Finalize,PMD_ACF,BUG,Major,
,Empty Finalizer,PMD_EF,CODE_SMELL,Minor,
,Finalize Does Not Call Super Finalize,PMD_FDNCSF,BUG,Critical,
,Finalize Only Calls Super Finalize,PMD_FOCSF,CODE_SMELL,Minor,
,Finalize Overloaded,PMD_FO,BUG,Critical,
,Finalize Should Be Protected,PMD_FSBP,BUG,Critical,
Import Statement Rules,Dont Import Java Lang,PMD_DIJL,CODE_SMELL,Minor,
,Duplicate Imports,PMD_DI,CODE_SMELL,Minor,
,Import From Same Package,PMD_IFSP,CODE_SMELL,Minor,
,Too Many Static Imports,PMD_TMSI,CODE_SMELL,Major,
,Unnecessary Fully Qualified Name,PMD_UFQN,CODE_SMELL,Minor,
J2EE Rules,Do Not Call System Exit,PMD_DNCSE,BUG,Critical,
,Local Home Naming Convention,PMD_LHNC,BUG,Major,
,Local Interface Session Naming Convention,PMD_LISNC,BUG,Major,
,MDBAnd Session Bean Naming Convention,PMD_MDBASBNC,BUG,Major,
,Remote Interface Naming Convention,PMD_RINC,CODE_SMELL,Major,
,Remote Session Interface Naming Convention,PMD_RSINC,BUG,Major,
,Static EJBField Should Be Final,PMD_SEJBFSBF,BUG,Critical,
JUnit Rules,JUnit Assertions Should Include Message,PMD_JUASIM,BUG,Minor,
,JUnit Spelling,PMD_JUS,BUG,Critical,
,JUnit Static Suite,PMD_JUSS,BUG,Critical,
,JUnit Test Contains Too Many Asserts,PMD_JUTCTMA,CODE_SMELL,Minor,
,JUnit Tests Should Include Assert,PMD_JUTSIA,CODE_SMELL,Major,
,Simplify Boolean Assertion,PMD_SBA,BUG,Minor,
,Test Class Without Test Cases,PMD_TCWTC,CODE_SMELL,Minor,
,Unnecessary Boolean Assertion,PMD_UBA,BUG,Minor,
,Use Assert Equals Instead Of Assert True,PMD_UAEIOAT,BUG,Major,
,Use Assert Null Instead Of Assert True,PMD_UANIOAT,BUG,Minor,
,Use Assert Same Instead Of Assert True,PMD_UASIOAT,BUG,Minor,
,Use Assert True Instead Of Assert Equals,PMD_UATIOAE,BUG,Minor,
Jakarta Commons Logging Rules,Guard Debug Logging,PMD_GDL,CODE_SMELL,Major,
,Guard Log Statement,PMD_GLS,CODE_SMELL,Minor,
,Proper Logger,PMD_PL,CODE_SMELL,Minor,
,Use Correct Exception Logging,PMD_UCEL,BUG,Major,
Java Logging Rules,Avoid Print Stack Trace,PMD_APST,BUG,Major,
,Guard Log Statement Java Util,PMD_GLSJU,CODE_SMELL,Minor,
,Logger Is Not Static Final,PMD_LINSF,CODE_SMELL,Minor,
,More Than One Logger,PMD_MTOL,BUG,Major,
,System Println,PMD_SP,CODE_SMELL,Major,
JavaBean Rules,Missing Serial Version UID,PMD_MSVUID,BUG,Major,
Naming Rules,Avoid Dollar Signs,PMD_ADS,BUG,Minor,
,Avoid Field Name Matching Method Name,PMD_AFNMMN,CODE_SMELL,Minor,
,Avoid Field Name Matching Type Name,PMD_AFNMTN,CODE_SMELL,Minor,
,Boolean Get Method Name,PMD_BGMN,CODE_SMELL,Minor,
,Class Naming Conventions,PMD_CNC,CODE_SMELL,Minor,
,Generics Naming,PMD_GN,CODE_SMELL,Minor,
,Method Naming Conventions,PMD_MeNC,CODE_SMELL,Minor,
,Method With Same Name As Enclosing Class,PMD_MWSNAEC,CODE_SMELL,Minor,
,No Package,PMD_NP,CODE_SMELL,Minor,
,Package Case,PMD_PC,CODE_SMELL,Minor,
,Short Class Name,PMD_SCN,CODE_SMELL,Minor,
,Short Method Name,PMD_SMN,CODE_SMELL,Minor,
,Suspicious Constant Field Name,PMD_SCFN,CODE_SMELL,Minor,
,Suspicious Equals Method Name,PMD_SEMN,BUG,Critical,
,Suspicious Hashcode Method Name,PMD_SHMN,BUG,Critical,
,Variable Naming Conventions,PMD_VNC,CODE_SMELL,Minor,
Optimization Rules,Add Empty String,PMD_AES,CODE_SMELL,Minor,
,Avoid Array Loops,PMD_AAL,CODE_SMELL,Major,
,Redundant Field Initializer,PMD_RFI,CODE_SMELL,Minor,
,Unnecessary Wrapper Object Creation,PMD_UWOC,BUG,Major,
,Use Array List Instead Of Vector,PMD_UALIOV,CODE_SMELL,Minor,
,Use Arrays As List,PMD_UAAL,CODE_SMELL,Major,
,Use String Buffer For String Appends,PMD_USBFSA,CODE_SMELL,Major,
Security Code Guideline Rules,Array Is Stored Directly,PMD_AISD,BUG,Major,
,Method Returns Internal Array,PMD_MRIA,VULNERABILITY,Major,
Strict Exception Rules,Avoid Catching Generic Exception,PMD_ACGE,BUG,Major,
,Avoid Catching NPE,PMD_ACNPE,BUG,Critical,
,Avoid Catching Throwable,PMD_ACT,BUG,Major,
,Avoid Losing Exception Information,PMD_ALEI,BUG,Major,
,Avoid Rethrowing Exception,PMD_ARE,CODE_SMELL,Minor,
,Avoid Throwing New Instance Of Same Exception,PMD_ATNIOSE,BUG,Minor,
,Avoid Throwing Null Pointer Exception,PMD_ATNPE,CODE_SMELL,Critical,
,Avoid Throwing Raw Exception Types,PMD_ATRET,CODE_SMELL,Major,
,Do Not Extend Java Lang Error,PMD_DNEJLE,BUG,Critical,
,Do Not Throw Exception In Finally,PMD_DNTEIF,BUG,Critical,
,Exception As Flow Control,PMD_EAFC,BUG,Major,
String and StringBuffer Rules,Avoid Duplicate Literals,PMD_ADL,CODE_SMELL,Major,
,Avoid String Buffer Field,PMD_ASBF,CODE_SMELL,Minor,
,Consecutive Appends Should Reuse,PMD_CASR,CODE_SMELL,Minor,
,Consecutive Literal Appends,PMD_CLA,CODE_SMELL,Minor,
,Inefficient String Buffering,PMD_ISB,CODE_SMELL,Minor,
,String Buffer Instantiation With Char,PMD_SBIWC,BUG,Critical,
,String Instantiation,PMD_StI,CODE_SMELL,Minor,
,String To String,PMD_STS,CODE_SMELL,Minor,
,Unnecessary Case Change,PMD_UCC,CODE_SMELL,Minor,
,Use Equals To Compare Strings,PMD_UETCS,BUG,Critical,
Type Resolution Rules,Clone Method Must Implement Cloneable,PMD_ClMMIC,BUG,Major,
,Loose Coupling,PMD_LoC,CODE_SMELL,Major,
,Signature Declare Throws Exception,PMD_SiDTE,CODE_SMELL,Major,
,Unused Imports,PMD_UnI,CODE_SMELL,Minor,
Unnecessary and Unused Code Rules,Unused Local Variable,PMD_ULV,CODE_SMELL,Major,
,Unused Private Field,PMD_UPF,CODE_SMELL,Major,
,Unused Private Method,PMD_UPM,CODE_SMELL,Major,
,,,,,
Reference of FindBugs coding rule violations,,,,,
Category,Name,Abbreviation,,Prio.,
Bad Practice Rules,Abstract Self,FB_EAS,BUG,Major,
,Bad Field,FB_SBF,BUG,Major,
,Bad Field Inner Class,FB_SBFIC,BUG,Minor,
,Bad Field Store,FB_SBFS,BUG,Critical,
,Boolean Return Null,FB_NBRN,BUG,Major,
,Check For Operand Not Compatible With This,FB_ECFONCWT,CODE_SMELL,Major,
,Class Naming Convention,FB_CNC,CODE_SMELL,Major,
,Class Not Exception,FB_NCNE,CODE_SMELL,Major,
,Clone Could Return Null,FB_REARTN,CODE_SMELL,Critical,
,Comparator Should Be Serializable,FB_SCSBS,CODE_SMELL,Major,
,Compareto Use Object Equals,FB_ECUOE,BUG,Critical,
,Comparing Parameter String With Eq,FB_ECPSWE,CODE_SMELL,Major,
,Comparing Strings With Eq,FB_ECSWE,CODE_SMELL,Major,
,Confusing,FB_NC,CODE_SMELL,Major,
,Creates Empty Jar File Entry,FB_ACEJFE,CODE_SMELL,Major,
,Creates Empty Zip File Entry,FB_ACEZFE,CODE_SMELL,Major,
,Dont Catch Imse,FB_IDCI,CODE_SMELL,Major,
,Dont Reuse Entry Objects In Iterators,FB_PDREOII,BUG,Major,
,Empty,FB_EF,CODE_SMELL,Major,
,Entry Sets May Reuse Entry Objects,FB_DESMREO,BUG,Major,
,Equals Method Should Work For All Objects,FB_BEMSWFAO,CODE_SMELL,Critical,
,Equals No Hashcode,FB_HENH,BUG,Major,
,Equals Should Handle Null Argument,FB_UNCIE,BUG,Critical,
,Equals Use Hashcode,FB_HEUH,BUG,Critical,
,Exit,FB_DNCSE,CODE_SMELL,Major,
,Explicit Invocation,FB_ACF,BUG,Major,
,Field Isnt Final In Immutable Class,FB_JFIFIIC,CODE_SMELL,Minor,
,Field Naming Convention,FB_NFNC,CODE_SMELL,Major,
,Finalizer Nulls Fields,FB_FFNF,BUG,Major,
,Finalizer Only Nulls Fields,FB_FFONF,CODE_SMELL,Major,
,Format String Uses Newline,FB_VFSUN,CODE_SMELL,Major,
,Future Keyword Used As Identifier,FB_NFKUAI,BUG,Major,
,Future Keyword Used As Member Identifier,FB_NFKUAMI,BUG,Major,
,Getclass And Class Constant,FB_EGACC,BUG,Critical,
